visit_id,user_id,visit_start_time,page_view,cart_add,purchase,campaign_name,impression,click,cart_products
1959ab,11,2020-01-17 20:15:12.623035,11,7,1,25% Off - Living The Lux Life,1,1,"Salmon,Kingfish,Russian Caviar,Black Truffle,Lobster,Crab,Oyster"
540999,11,2020-02-18 21:57:42.839815,10,6,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Tuna,Black Truffle,Abalone,Lobster,Crab"
55eb25,11,2020-02-14 07:30:04.25573,8,0,0,Half Off - Treat Your Shellf(ish),0,0,
5e3926,11,2020-02-14 14:35:57.424743,7,3,0,Half Off - Treat Your Shellf(ish),1,0,"Kingfish,Black Truffle,Abalone"
8217a7,11,2020-02-23 23:09:24.100713,10,7,1,Half Off - Treat Your Shellf(ish),1,1,"Kingfish,Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
9c2633,11,2020-01-17 05:00:57.913348,8,2,0,25% Off - Living The Lux Life,0,0,"Kingfish,Lobster"
daf4c9,11,2020-02-18 07:38:09.974494,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
22f79f,12,2020-02-06 22:54:54.554509,10,7,1,Half Off - Treat Your Shellf(ish),1,1,"Kingfish,Tuna,Russian Caviar,Abalone,Lobster,Crab,Oyster"
3362fa,12,2020-04-27 23:19:52.606558,11,6,1,,1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Oyster"
462645,12,2020-02-14 08:17:42.970664,10,5,0,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Russian Caviar,Black Truffle,Abalone,Crab"
5dd284,12,2020-03-06 05:06:31.933659,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
827629,12,2020-03-31 17:02:28.895487,10,8,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Lobster,Crab,Oyster"
ad91aa,12,2020-04-27 16:29:37.521844,6,1,1,,0,0,Abalone
b4e9d7,12,2020-02-14 02:27:30.843156,7,5,0,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Russian Caviar,Black Truffle,Lobster,Crab"
d1e11c,12,2020-03-06 03:54:33.905015,8,2,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Black Truffle"
d69e73,12,2020-02-06 09:11:00.353528,5,1,0,Half Off - Treat Your Shellf(ish),0,0,Lobster
df30a9,12,2020-03-31 04:40:58.291051,8,1,0,Half Off - Treat Your Shellf(ish),0,0,Black Truffle
430d59,13,2020-02-29 16:27:22.704421,9,3,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Lobster,Oyster"
660a51,13,2020-02-29 12:28:39.137886,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
af91d8,13,2020-02-12 04:32:24.858911,6,4,0,Half Off - Treat Your Shellf(ish),1,1,"Kingfish,Tuna,Russian Caviar,Abalone"
c70085,13,2020-02-12 08:26:14.018589,6,1,0,Half Off - Treat Your Shellf(ish),0,0,Crab
430980,14,2020-03-11 21:10:15.700922,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
5ce5c9,14,2020-02-09 13:45:15.297024,9,5,1,Half Off - Treat Your Shellf(ish),1,1,"Kingfish,Russian Caviar,Black Truffle,Abalone,Crab"
6a20a3,14,2020-01-12 02:51:14.213414,8,1,0,BOGOF - Fishing For Compliments,0,0,Salmon
926e3a,14,2020-03-11 13:33:34.744514,3,0,0,Half Off - Treat Your Shellf(ish),0,0,
c80b4c,14,2020-02-25 10:17:05.746225,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
c84335,14,2020-02-25 00:05:21.139333,7,3,1,Half Off - Treat Your Shellf(ish),0,0,"Russian Caviar,Lobster,Oyster"
f49ff9,14,2020-01-12 03:47:54.234081,7,5,1,BOGOF - Fishing For Compliments,1,1,"Kingfish,Tuna,Russian Caviar,Abalone,Crab"
f51e80,14,2020-02-09 03:38:08.052792,9,4,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Black Truffle,Crab,Oyster"
4b5d1b,15,2020-01-28 04:57:24.349407,6,2,1,25% Off - Living The Lux Life,0,0,"Salmon,Lobster"
848790,15,2020-02-25 12:51:28.107838,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Lobster"
b9f3b2,15,2020-01-28 17:34:35.072597,1,0,0,25% Off - Living The Lux Life,0,0,
cd2abe,15,2020-02-25 02:22:10.095382,9,6,0,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Abalone,Lobster,Crab"
04e665,16,2020-01-06 19:23:09.21882,1,0,0,BOGOF - Fishing For Compliments,0,0,
123ae4,16,2020-01-25 16:41:34.133957,1,0,0,25% Off - Living The Lux Life,0,0,
148623,16,2020-01-19 02:18:31.597484,7,4,1,25% Off - Living The Lux Life,1,1,"Salmon,Abalone,Lobster,Oyster"
34542c,16,2020-01-20 15:58:19.463936,6,4,1,25% Off - Living The Lux Life,0,0,"Salmon,Black Truffle,Lobster,Crab"
69440b,16,2020-01-06 21:47:52.127691,4,1,1,BOGOF - Fishing For Compliments,0,0,Oyster
8697ad,16,2020-01-19 08:45:49.934854,8,5,1,25% Off - Living The Lux Life,0,0,"Kingfish,Tuna,Abalone,Lobster,Oyster"
b16614,16,2020-01-25 06:37:41.495603,8,3,0,25% Off - Living The Lux Life,0,0,"Kingfish,Tuna,Black Truffle"
fef0ba,16,2020-01-20 10:10:19.793868,10,8,1,25% Off - Living The Lux Life,1,1,"Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
048310,17,2020-03-20 08:52:01.966302,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
962f96,17,2020-02-17 18:06:01.560083,6,3,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Tuna,Lobster"
a046fe,17,2020-02-24 22:33:04.211991,7,3,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Kingfish,Lobster"
ae5874,17,2020-03-20 00:36:40.513848,7,4,0,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Tuna,Crab,Oyster"
c68425,17,2020-02-24 20:09:25.110939,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
e70fd5,17,2020-02-17 10:08:06.935513,7,2,0,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Russian Caviar"
48810d,18,2020-02-29 15:28:27.524633,4,0,0,Half Off - Treat Your Shellf(ish),0,0,
53e96e,18,2020-02-29 20:58:12.141727,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
04ce86,19,2020-02-11 21:19:25.594181,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
51758f,19,2020-03-27 08:09:06.60607,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Lobster"
5ab169,19,2020-02-28 10:56:51.09643,8,3,1,Half Off - Treat Your Shellf(ish),0,0,"Russian Caviar,Black Truffle,Crab"
a2abee,19,2020-03-27 02:56:06.675167,10,7,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Abalone,Lobster,Crab,Oyster"
b1f7ef,19,2020-02-28 21:13:06.818567,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
cc850f,19,2020-03-09 10:59:48.993429,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Black Truffle,Oyster"
e93365,19,2020-03-09 11:47:50.632146,9,5,1,Half Off - Treat Your Shellf(ish),1,1,"Kingfish,Black Truffle,Abalone,Lobster,Oyster"
fdf383,19,2020-02-11 13:53:23.842767,7,1,1,Half Off - Treat Your Shellf(ish),0,0,Salmon
006f7f,20,2020-02-23 01:38:55.234954,5,1,1,Half Off - Treat Your Shellf(ish),1,1,Tuna
1038ec,20,2020-02-12 16:54:30.922309,8,3,1,Half Off - Treat Your Shellf(ish),1,1,"Tuna,Crab,Oyster"
378a75,20,2020-02-12 23:34:55.184939,4,0,0,Half Off - Treat Your Shellf(ish),0,0,
ae67d0,20,2020-03-07 17:11:55.65263,8,4,1,Half Off - Treat Your Shellf(ish),0,0,"Black Truffle,Abalone,Lobster,Crab"
af7dbb,20,2020-03-07 18:53:44.91176,7,1,1,Half Off - Treat Your Shellf(ish),0,0,Crab
ce02d6,20,2020-03-07 04:07:50.890749,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
dc903f,20,2020-03-07 20:27:56.951539,10,7,0,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone,Crab"
ed7061,20,2020-02-23 22:36:08.522388,8,2,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Black Truffle"
253176,21,2020-03-18 14:30:35.11131,8,3,0,Half Off - Treat Your Shellf(ish),0,0,"Russian Caviar,Black Truffle,Oyster"
48a5f0,21,2020-03-18 13:44:08.725554,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
a67606,21,2020-02-14 21:10:26.159489,5,1,1,Half Off - Treat Your Shellf(ish),0,0,Lobster
b5f4b4,21,2020-02-14 10:05:28.444749,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
ce83bf,21,2020-02-22 05:22:11.270312,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
e07175,21,2020-02-22 12:07:15.351037,5,1,1,Half Off - Treat Your Shellf(ish),0,0,Russian Caviar
093a52,22,2020-03-19 21:11:31.97176,8,2,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Crab"
2563e4,22,2020-03-19 11:47:51.280769,8,4,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Russian Caviar,Abalone,Crab"
679b1e,22,2020-03-19 01:31:10.203892,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
71740f,22,2020-02-08 21:36:43.915368,11,6,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Black Truffle,Abalone,Lobster,Crab,Oyster"
9e4195,22,2020-02-27 21:51:07.938647,11,3,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Black Truffle,Crab"
d1806e,22,2020-03-19 02:19:30.400539,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
f124b9,22,2020-02-27 05:17:38.989597,10,6,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone"
f6c20a,22,2020-02-08 21:20:30.230238,7,3,0,Half Off - Treat Your Shellf(ish),1,0,"Tuna,Russian Caviar,Black Truffle"
0202bb,23,2020-01-18 10:26:18.696664,1,0,0,25% Off - Living The Lux Life,0,0,
a4611f,23,2020-01-18 17:03:38.205649,7,1,0,25% Off - Living The Lux Life,0,0,Black Truffle
ac8301,23,2020-02-14 01:33:28.898783,5,0,0,Half Off - Treat Your Shellf(ish),0,0,
bf5655,23,2020-02-14 23:42:40.952651,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
d7fa36,23,2020-01-16 22:31:12.357021,5,0,0,25% Off - Living The Lux Life,0,0,
ed6296,23,2020-01-16 09:26:44.343546,1,0,0,25% Off - Living The Lux Life,0,0,
2a5092,24,2020-01-23 20:05:46.748733,7,3,1,25% Off - Living The Lux Life,0,0,"Kingfish,Lobster,Crab"
b0c937,24,2020-02-10 03:36:44.394072,9,5,1,Half Off - Treat Your Shellf(ish),0,0,"Russian Caviar,Abalone,Lobster,Crab,Oyster"
ba4d74,24,2020-01-23 22:53:10.826639,8,4,1,25% Off - Living The Lux Life,1,0,"Salmon,Kingfish,Black Truffle,Abalone"
e29f01,24,2020-02-10 22:23:13.082244,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
162e2a,25,2020-03-29 01:02:14.508768,9,5,0,Half Off - Treat Your Shellf(ish),1,1,"Tuna,Russian Caviar,Black Truffle,Abalone,Lobster"
509464,25,2020-03-01 00:22:45.05737,9,3,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Russian Caviar,Black Truffle"
52165c,25,2020-03-27 19:31:38.140041,8,2,0,Half Off - Treat Your Shellf(ish),0,0,"Black Truffle,Abalone"
63d9c8,25,2020-03-29 21:27:41.491967,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Tuna"
8fb57b,25,2020-03-29 14:48:01.380894,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
a035ba,25,2020-01-08 14:21:10.909078,1,0,0,BOGOF - Fishing For Compliments,0,0,
abb857,25,2020-03-29 06:53:34.179444,6,3,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Tuna,Russian Caviar"
b6c3f3,25,2020-02-04 04:29:12.404294,9,5,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Kingfish,Black Truffle,Lobster,Crab"
ce1b65,25,2020-01-08 18:36:44.905584,9,3,1,BOGOF - Fishing For Compliments,0,0,"Kingfish,Black Truffle,Lobster"
d08a19,25,2020-02-04 12:32:08.945525,10,8,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Oyster"
d8378a,25,2020-03-27 12:28:03.580612,11,6,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone"
f0362e,25,2020-03-01 15:46:28.006061,9,6,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Russian Caviar,Abalone,Lobster,Oyster"
1d3591,26,2020-02-08 22:42:15.632664,9,3,0,Half Off - Treat Your Shellf(ish),0,0,"Black Truffle,Abalone,Crab"
3de350,26,2020-02-08 08:13:44.385207,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
70ef14,26,2020-03-04 04:43:07.563726,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
752e73,26,2020-03-05 12:20:18.16157,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
8a8280,26,2020-03-04 15:33:54.783692,8,4,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Russian Caviar,Abalone,Oyster"
8bfa80,26,2020-01-26 20:59:05.73844,6,2,0,25% Off - Living The Lux Life,0,0,"Salmon,Abalone"
cb44c6,26,2020-01-26 11:45:46.84616,6,2,0,25% Off - Living The Lux Life,1,0,"Kingfish,Black Truffle"
e8f2d8,26,2020-03-05 01:58:55.880569,8,2,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Crab"
37c63a,27,2020-01-31 11:11:04.391341,7,3,1,,0,0,"Salmon,Lobster,Oyster"
3c6716,27,2020-01-31 17:56:20.777383,9,6,1,,1,1,"Salmon,Black Truffle,Abalone,Lobster,Crab,Oyster"
406e92,27,2020-02-27 13:03:50.131635,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
675f3b,27,2020-02-09 04:36:56.849396,8,3,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Abalone,Oyster"
999d15,27,2020-02-09 09:15:06.655311,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
b792ed,27,2020-02-24 10:36:52.49448,10,6,1,Half Off - Treat Your Shellf(ish),1,1,"Kingfish,Tuna,Russian Caviar,Black Truffle,Crab,Oyster"
cc31c9,27,2020-02-27 06:19:07.643818,9,4,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Black Truffle,Crab,Oyster"
e4eb9f,27,2020-02-24 16:18:47.3398,8,2,1,Half Off - Treat Your Shellf(ish),0,0,"Black Truffle,Oyster"
1d34f3,28,2020-02-29 07:59:51.532485,8,3,1,Half Off - Treat Your Shellf(ish),1,1,"Russian Caviar,Black Truffle,Oyster"
32a3fc,28,2020-02-29 02:05:09.212041,9,2,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Black Truffle"
7700aa,28,2020-04-03 11:23:20.90219,8,1,1,,0,0,Tuna
8d1ba0,28,2020-03-29 12:17:22.571408,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
b2d522,28,2020-04-23 00:02:18.925906,7,2,1,,0,0,"Salmon,Abalone"
cbc891,28,2020-04-23 12:16:59.661749,1,0,0,,0,0,
ccc885,28,2020-03-29 19:12:02.879107,6,2,0,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Abalone"
f65bdb,28,2020-04-03 09:15:48.194719,8,6,1,,1,1,"Salmon,Tuna,Russian Caviar,Black Truffle,Abalone,Oyster"
0813d2,29,2020-01-10 12:06:36.827474,8,3,1,BOGOF - Fishing For Compliments,0,0,"Salmon,Kingfish,Russian Caviar"
1009f1,29,2020-02-22 21:03:12.680972,8,3,1,Half Off - Treat Your Shellf(ish),1,0,"Kingfish,Crab,Oyster"
356c8b,29,2020-01-10 21:44:19.722632,10,7,1,BOGOF - Fishing For Compliments,1,1,"Salmon,Kingfish,Tuna,Black Truffle,Abalone,Crab,Oyster"
72873f,29,2020-02-09 18:19:41.683919,5,1,1,Half Off - Treat Your Shellf(ish),0,0,Lobster
7332c9,29,2020-02-09 07:08:50.132565,8,3,1,Half Off - Treat Your Shellf(ish),1,1,"Abalone,Crab,Oyster"
7964c7,29,2020-02-22 13:07:44.878911,8,0,0,Half Off - Treat Your Shellf(ish),0,0,
7afd6c,29,2020-02-06 03:03:07.49348,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Crab"
cfb8f0,29,2020-02-06 18:56:11.120051,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
e762b0,29,2020-02-16 09:47:31.636722,5,2,1,Half Off - Treat Your Shellf(ish),0,0,"Lobster,Oyster"
fbfdcb,29,2020-02-16 00:07:08.503981,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
1c785b,30,2020-02-16 19:37:00.866055,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Black Truffle,Lobster"
7e017d,30,2020-02-28 22:40:02.728573,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
9e6e07,30,2020-02-09 17:21:02.614456,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
aef43a,30,2020-02-09 13:39:36.15029,9,3,0,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Kingfish,Tuna"
